year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,7,ND,Final,73474,1007521,9174,7.29,41791,67.6,66.0,-100.469321077,47.446338517
2022,7,NE,Final,95720,1266390,66554,7.56,41784,73.9,71.4,-99.8108090713,41.5271489603
2022,7,NH,Final,25826,173541,3175,14.88,41786,65.4,64.1,-71.5775941473,43.6856317461
2022,7,NJ,Final,77140,563668,11421,13.69,41787,73.9,71.0,-74.6607541123,40.1844273633
2022,7,NM,Final,66189,949136,9301,6.97,41788,74.4,71.0,-106.108388616,34.4213707591
2022,7,NV,Final,116680,1172655,3525,9.95,41785,71.6,68.1,-116.65522549,39.3562373462
2022,7,NY,Final,120417,1451469,7217,8.3,41789,66.7,65.8,-75.5031182762,42.9403901101
2022,7,OH,Final,345691,4201424,19349,8.23,41792,72.3,70.9,-82.7900611953,40.291452206
2022,7,OK,Final,154020,1912497,20237,8.05,41793,82.9,79.3,-97.5082927121,35.5834856477
2022,7,OR,Final,113850,1711586,26861,6.65,41794,63.8,60.9,-120.555413394,43.9366481606
2022,7,PA,Final,401899,4508872,15841,8.91,41795,69.7,68.2,-77.7995595623,40.8738378455
2022,7,RI,Final,9093,51714,1583,17.58,41796,70.2,67.5,-71.5536120535,41.6760813901
2022,7,SC,Final,194617,2415212,3705,8.06,41797,80.0,78.4,-80.8961396866,33.9079742468
2022,7,SD,Final,24439,292390,4300,8.36,41798,71.1,69.1,-100.230507516,44.4361607025
2022,7,TN,Final,148644,1976718,1019,7.52,41799,77.9,75.4,-86.3433803654,35.8429870949
2022,7,TX,Final,1035727,11992237,324508,8.64,41800,85.4,80.9,-99.3506971451,31.4844643819
2022,7,UT,Final,60512,882912,10445,6.85,41801,71.6,67.8,-111.678216374,39.3237947509
2022,7,VA,Final,126272,1509734,3666,8.36,41803,74.5,72.8,-78.8122544727,37.5150238913
2022,7,VT,Final,14102,119823,253,11.77,41802,64.4,63.5,-72.6626493581,44.0751958252
2022,7,WA,Final,106938,1832664,26519,5.84,41804,63.0,60.9,-120.446866425,47.3809688818
2022,7,WI,Final,193858,2086460,5671,9.29,41806,67.4,66.5,-90.0116942643,44.6380301915
2022,7,WV,Final,89878,1247020,11192,7.21,41805,70.8,69.9,-80.6137119661,38.6425987436
2022,7,WY,Final,61550,862387,11836,7.14,41807,63.9,61.4,-107.551454075,42.999642032
2022,6,AL,Final,242094,2856132,7273,8.48,41712,76.8,74.1,-86.8283719359,32.7898321918
2022,6,AR,Final,123917,1553149,36263,7.98,41714,74.5,72.6,-92.4392676639,34.8997453322
2022,6,AZ,Final,101204,1259684,7842,8.03,41713,73.6,69.7,-111.664418336,34.2931098705
2022,6,CA,Final,782793,4463987,151248,17.54,41715,67.2,64.5,-119.610698951,37.2460706736
2022,6,CO,Final,110154,1272874,15166,8.65,41716,58.8,56.5,-105.547824721,38.9985518194
2022,6,CT,Final,35701,234905,3973,15.2,41717,63.4,61.1,-72.7257060428,41.6202863352
2022,6,DE,Final,15584,180042,866,8.66,41718,68.3,66.4,-75.4004040929,38.8870164548
2022,6,FL,Final,141400,1557566,23902,9.08,41719,79.8,77.3,-81.7974638723,28.6284392647
2022,6,GA,Final,367250,2948681,24815,12.45,41720,76.6,74.2,-83.4463418309,32.6492290722
2022,6,IA,Final,200284,2233571,9683,8.97,41724,66.4,64.4,-93.5000649605,42.0746268788
2022,6,ID,Final,85288,1071762,29404,7.96,41721,51.6,53.0,-114.659382348,44.0890895052
2022,6,IL,Final,336014,3735481,5506,9.0,41722,69.4,66.8,-89.1983967614,40.0650409125
2022,6,IN,Final,328605,3633858,19117,9.04,41723,68.5,65.9,-86.2756397346,39.9081412284
2022,6,KS,Final,84203,1007673,24720,8.36,41725,70.2,68.4,-98.3802131736,38.4847081514
2022,6,KY,Final,212564,2533342,5498,8.39,41726,70.8,68.4,-85.2904560935,37.5266674638
2022,6,LA,Final,275237,3618403,20070,7.61,41727,79.9,76.5,-92.5856620163,31.0584069584
2022,6,MA,Final,92660,543076,10532,17.06,41730,62.6,60.0,-71.7986394244,42.2533023991
2022,6,MD,Final,33007,317434,9160,10.4,41729,68.2,66.4,-76.7724546076,39.0369222963
2022,6,ME,Final,23064,191773,2206,12.03,41728,57.4,55.2,-69.2266474552,45.3714334913
2022,6,MI,Final,214171,2446122,5826,8.76,41731,61.3,58.4,-85.4371669561,44.3506813109
2022,6,MN,Final,171287,1684631,9498,10.17,41732,60.8,59.0,-94.3090126515,46.3163329315
2022,6,MO,Final,102566,1161848,9880,8.83,41734,70.6,68.7,-92.4774101578,38.3676131565
2022,6,MS,Final,93274,1382462,11428,6.75,41733,78.3,74.8,-89.6652136847,32.750866634
2022,6,MT,Final,22330,401853,13635,5.56,41735,53.5,54.3,-109.645148622,47.0335364218
2022,6,NC,Final,155720,2173458,9318,7.16,41742,71.9,69.9,-79.3723797543,35.5415341226
2022,6,ND,Final,70316,949865,9174,7.4,41743,58.8,58.4,-100.469321077,47.446338517
2022,6,NE,Final,92521,1192880,66863,7.76,41736,65.0,63.3,-99.8108090713,41.5271489603
2022,6,NH,Final,23352,163144,3174,14.31,41738,59.6,57.1,-71.5775941473,43.6856317461
